Date,Dividends
2000-05-30,3.5
2003-05-06,2.3
2009-04-30,1.2
2006-05-29,0.94
2002-06-04,2.06
2004-05-11,2.45
2006-05-10,1.7
2002-07-04,0.43
2008-05-09,1.1
2005-06-07,0.5
2003-06-11,0.2
2012-05-08,1.39
2014-05-07,1.45
2016-05-05,1.6
2018-05-04,1.9
2019-05-07,1.94
2007-05-29,1.15
2001-06-06,1.9
2010-05-04,1.2
2007-05-10,2.0
2013-05-02,1.45
2004-06-07,0.2
2011-05-10,1.3
2005-05-17,1.35
2015-05-07,1.5
2017-05-05,1.7
