Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,27.429399,27.453400,26.587200,26.587200,12.926663,750528
2000-01-04,27.056400,26.875999,25.636900,26.082001,12.681039,1965712
2000-01-05,25.624800,25.865400,25.143600,25.504499,12.400256,1982245
2000-01-06,25.504499,26.310600,25.384300,26.226299,12.751194,1471641
2000-01-07,26.683500,26.827900,25.769199,26.466999,12.868222,1490493
2000-01-10,26.948200,28.151199,26.587200,27.585800,13.412183,1968422
2000-01-11,27.585800,27.910601,27.333200,27.429399,13.336140,1857104
2000-01-12,27.248899,28.057400,27.248899,27.790300,13.511609,1402700
2000-01-13,27.730200,28.873100,27.573799,28.331699,13.774837,1443296
2000-01-14,28.403900,29.414400,28.403900,29.113600,14.154998,1388360
2000-01-17,29.414400,29.474600,28.319599,28.812901,14.008796,822820
2000-01-18,28.812901,29.053499,28.235500,28.283501,13.751403,950022
2000-01-19,28.271500,28.427900,27.790300,27.982800,13.605203,1138311
2000-01-20,27.910601,27.994801,27.429399,27.681999,13.458955,1223744
2000-01-21,27.489500,28.271500,27.393299,27.898600,13.564264,770436
2000-01-24,27.790300,28.030899,27.549700,27.934700,13.581819,1231292
2000-01-25,28.006901,28.271500,27.549700,27.790300,13.511609,1181194
2000-01-26,27.850401,28.271500,27.501600,27.730200,13.482388,1290475
2000-01-27,27.369301,28.223400,26.719601,27.694099,13.464837,4971396
2000-01-28,27.670000,27.910601,26.106100,26.382799,12.827285,2738410
2000-01-31,26.070000,26.539200,25.901501,25.973700,12.628381,1908266
2000-02-01,26.226299,26.683500,25.889500,26.033899,12.657652,1152018
2000-02-02,26.130100,26.166201,25.468399,25.877501,12.581613,2654207
2000-02-03,25.889500,26.948200,25.889500,26.647400,12.955934,2971810
2000-02-04,26.948200,27.417299,26.358700,26.647400,12.955934,1564098
2000-02-07,26.888000,27.429399,26.707600,27.188801,13.219161,847532
2000-02-08,27.068501,27.477600,26.827900,27.309099,13.277653,1217760
2000-02-09,26.888000,26.972300,25.143600,25.143600,12.224787,2565857
2000-02-10,25.143600,25.372200,24.181200,25.071400,12.189686,1947126
2000-02-11,24.698500,25.239901,23.988701,24.181200,11.756870,1041074
2000-02-14,24.181200,24.746599,23.940599,24.506001,11.914787,726747
2000-02-15,25.973700,27.068501,25.576700,25.997801,12.640098,3423057
2000-02-16,26.888000,26.912100,26.118099,26.250401,12.762913,1572701
2000-02-17,26.466999,26.454901,25.745199,26.130100,12.704424,577600
2000-02-18,26.130100,26.466999,25.636900,26.106100,12.692754,750495
2000-02-21,26.106100,26.106100,25.324100,25.721100,12.505566,544526
2000-02-22,25.865400,26.094000,25.155600,25.721100,12.505566,953904
2000-02-23,26.346701,26.683500,25.865400,26.370701,12.821402,1304498
2000-02-24,27.188801,27.188801,26.021799,26.575300,12.920878,1445706
2000-02-25,26.466999,26.466999,25.143600,26.118099,12.698589,3291150
2000-02-28,26.226299,26.466999,25.191700,25.829300,12.558174,1295255
2000-02-29,26.322599,26.900101,25.648899,25.757200,12.523119,1354355
2000-03-01,25.937599,27.670000,25.889500,26.286501,12.780463,1480452
2000-03-02,26.382799,27.886499,26.250401,27.609900,13.423900,3333518
2000-03-03,27.465500,28.632500,27.321100,28.271500,13.745568,1587289
2000-03-06,28.030899,28.127199,27.597799,27.597799,13.418014,842462
2000-03-07,26.972300,27.261000,25.985800,25.985800,12.634266,1885956
2000-03-08,25.937599,25.961700,24.686501,24.903000,12.107808,2003491
2000-03-09,25.263901,25.468399,24.602200,24.999201,12.154580,959997
2000-03-10,25.263901,25.263901,24.108999,24.794701,12.055151,1533243
2000-03-13,25.408300,25.925600,25.023300,25.143600,12.224787,1167246
2000-03-14,26.021799,26.707600,25.552700,26.346701,12.809732,2191872
2000-03-15,26.214300,26.587200,25.925600,26.286501,12.780463,1003437
