Date,Dividends
2008-05-22,1.26
2013-11-15,0.83
2013-04-25,0.67
2006-05-30,0.68
2014-10-13,0.5
2005-08-12,0.54
2007-08-10,0.3
2016-10-12,0.5
2018-10-10,0.37
2014-04-30,0.67
2010-05-05,0.67
2012-09-25,0.83
2019-05-21,0.38
2010-11-10,0.83
2016-05-05,0.5
2009-12-15,0.8
2012-04-25,0.67
2008-11-24,0.8
2017-05-16,0.5
2006-08-11,0.59
2015-10-13,0.5
2007-05-30,1.1
2017-10-11,0.35
2011-05-04,0.67
2009-05-06,0.6
2015-04-30,0.5
2018-05-22,0.35
2011-11-10,0.83
