Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.599300,33.839199,32.639301,32.639301,6.373060,12220956
2000-01-04,32.399300,32.639301,30.719299,31.439301,6.138752,25162210
2000-01-05,30.719299,31.679300,30.479300,30.959299,6.045026,20716145
2000-01-06,30.719299,31.199301,30.479300,30.719299,5.998165,10870492
2000-01-07,30.479300,31.679300,30.719299,31.679300,6.185613,15711483
2000-01-10,31.679300,32.159302,31.679300,31.679300,6.185613,12212155
2000-01-11,31.679300,31.679300,30.719299,30.959299,6.045026,16136659
2000-01-12,30.719299,31.919300,30.719299,30.959299,6.045026,17079364
2000-01-13,31.199301,31.679300,30.719299,31.679300,6.185613,16132009
2000-01-14,31.919300,32.639301,31.679300,32.159302,6.279335,17266551
2000-01-17,32.159302,33.119301,32.159302,32.879299,6.419921,16607787
2000-01-18,32.879299,32.879299,31.679300,31.919300,6.232474,18115870
2000-01-19,31.919300,31.919300,31.439301,31.439301,6.138752,18340242
2000-01-20,31.199301,31.679300,30.959299,31.439301,6.138752,19286730
2000-01-21,30.959299,31.199301,29.999300,30.719299,5.998165,14401771
2000-01-24,30.479300,31.199301,29.999300,29.999300,5.857580,16022790
2000-01-25,29.999300,30.479300,29.759300,29.759300,5.810717,15340525
2000-01-26,29.759300,30.479300,29.279400,29.519300,5.763856,12485861
2000-01-27,29.759300,29.999300,29.279400,29.759300,5.810717,16248079
2000-01-28,29.759300,30.959299,29.759300,30.479300,5.951304,12062252
2000-01-31,29.759300,31.199301,29.999300,30.959299,6.045026,14311769
2000-02-01,31.439301,31.679300,30.959299,31.679300,6.185613,12387909
2000-02-02,31.919300,31.919300,30.959299,31.679300,6.185613,8600558
2000-02-03,32.159302,33.119301,31.679300,33.119301,6.466783,27317392
2000-02-04,33.359299,33.359299,32.399300,33.119301,6.466783,14492573
2000-02-07,32.639301,33.119301,32.399300,32.639301,6.373060,9851669
2000-02-08,31.919300,32.159302,31.679300,32.159302,6.279335,20051280
2000-02-09,31.919300,31.679300,30.959299,31.199301,6.091890,19695872
2000-02-10,31.199301,31.919300,30.959299,31.199301,6.091890,15103386
2000-02-11,30.959299,31.199301,29.999300,30.719299,5.998165,22695422
