Date,Dividends
2013-06-06,1.0
2008-05-20,1.17
2002-07-18,0.35
2008-05-23,1.17
2017-06-08,2.25
2012-02-27,1.5
2018-02-20,1.5
2000-06-06,0.92
2014-02-25,1.5
2016-02-24,1.5
2011-02-07,1.0
2003-06-10,1.65
2005-06-08,2.0
2009-06-04,1.03
2007-06-08,0.95
2011-06-03,0.5
2015-06-04,1.45
2014-06-05,1.2
2003-07-17,0.35
2018-06-07,2.6
2013-02-26,1.5
2017-02-22,1.5
2001-06-07,1.25
2002-06-07,1.5
2015-03-03,1.5
2008-06-05,1.0
2012-05-31,0.5
2004-06-11,2.55
2006-06-09,2.5
2010-06-08,1.05
2016-06-02,1.85
