Date,Dividends
2000-04-10,0.9
2001-05-03,0.5
2004-04-30,1.11
2011-07-05,1.08
2012-07-04,0.52
2014-04-24,0.62
2006-05-05,1.0
2007-05-04,1.03
2003-04-17,0.64
2009-05-04,1.08
2015-06-17,0.68
2013-05-02,0.58
2016-05-23,0.7
2010-05-07,1.08
2005-04-22,0.94
2008-04-18,1.08
2017-06-21,0.7
2018-06-21,0.46
2019-06-20,0.46
2002-04-29,0.56
